,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
89,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,2012-04-04 22:54:41,2023-09-15 22:38:21,2023-09-15 22:36:31,433.0,,61.0,19.0,94.0,5.0,63.0,386,,,,A complete library to create dynamic model instances for testing purposes.,1146.0,1146.0,36.0,https://pypi.org/project/django-dynamic-fixture,73206.0,73206.0,21,True,3,,,,,,
90,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,2021-06-17 09:58:17,2024-01-28 06:04:49,2024-01-06 10:39:58,534.0,33.0,21.0,11.0,65.0,5.0,29.0,238,2024-01-06 10:37:39,0.20.3,32.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,12.0,https://pypi.org/project/django-ninja-extra,31083.0,31083.0,21,True,2,MIT,,,,,
91,django-minio-storage,py-pa/django-minio-storage,django-minio-storage,[],storage,https://github.com/py-pa/django-minio-storage,https://github.com/py-pa/django-minio-storage,2016-07-11 10:36:18,2023-12-19 06:54:50,2023-12-19 06:54:50,227.0,1.0,51.0,7.0,57.0,11.0,71.0,142,2023-08-30 20:53:31,0.5.7,8.0,A django storage driver for minio.,237.0,237.0,18.0,https://pypi.org/project/django-minio-storage,25115.0,25115.0,21,True,3,MIT,,,,,
92,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2023-10-31 19:44:35,2023-09-29 06:59:19,126.0,,381.0,107.0,96.0,36.0,270.0,2505,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,285.0,285.0,2.0,https://pypi.org/project/viewflow,33.0,33.0,20,True,2,AGPL-3.0,,,,,
93,django-autofixture,gregmuellegger/django-autofixture,django-autofixture,[],example-data,https://github.com/gregmuellegger/django-autofixture,https://github.com/gregmuellegger/django-autofixture,2010-08-24 18:39:29,2023-08-04 08:11:59,2017-03-03 07:13:17,343.0,,84.0,16.0,63.0,19.0,37.0,458,,,,Can create auto-generated test data.,846.0,846.0,34.0,https://pypi.org/project/django-autofixture,1214.0,1214.0,20,False,2,BSD-3-Clause,,,,,
94,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2024-01-31 08:21:27,2024-01-25 19:43:18,679.0,16.0,47.0,10.0,179.0,4.0,67.0,421,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,25.0,https://pypi.org/project/django-concurrency,43312.0,43312.0,20,True,1,MIT,,2.0,,,
95,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120.0,,32.0,7.0,36.0,13.0,27.0,418,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,66.0,66.0,4.0,https://pypi.org/project/djantic,19071.0,19071.0,20,True,3,MIT,,,,,
96,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2023-08-14 18:47:11,2022-06-17 09:46:13,276.0,,96.0,20.0,62.0,60.0,44.0,321,,,,Django registration and authentication with GraphQL.,668.0,668.0,16.0,https://pypi.org/project/django-graphql-auth,8196.0,8196.0,20,True,3,MIT,,,,,
97,aiosmtpd,aio-libs/aiosmtpd,aiosmtpd,[],emails,https://github.com/aio-libs/aiosmtpd,https://github.com/aio-libs/aiosmtpd,2016-07-14 13:51:17,2024-01-30 22:08:49,2023-01-19 09:37:59,746.0,,87.0,15.0,215.0,58.0,105.0,293,2023-01-19 09:44:08,1.4.4.post2,14.0,A reimplementation of the Python stdlib smtpd.py based on asyncio.,,,38.0,https://pypi.org/project/aiosmtpd,106780.0,106784.0,20,True,3,Apache-2.0,265.0,,,,
98,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,2010-12-31 14:47:45,2022-12-22 16:49:58,2022-03-22 11:44:40,82.0,,91.0,19.0,45.0,12.0,35.0,275,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,618.0,618.0,19.0,https://pypi.org/project/django-google-maps,5256.0,5256.0,20,True,2,BSD-2-Clause,,,,,
