,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,gitlab_id,gitlab_url
51,django-admin-tools,django-admin-tools/django-admin-tools,django-admin-tools,[],admin-interface,https://github.com/django-admin-tools/django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,MIT,2015-06-20 11:09:46,2023-02-22 09:57:31,2021-12-12 15:43:02,561.0,,108.0,23.0,48.0,19.0,59.0,741.0,,,,Extends the Django Admin to include a extensible dashboard and navigation menu.,1304.0,1304.0,81.0,https://pypi.org/project/django-admin-tools,64911.0,64911.0,25,True,3,,,,
52,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,BSD-3-Clause,2011-04-16 01:58:58,2023-02-15 20:30:47,2022-05-05 01:23:36,216.0,,149.0,19.0,65.0,40.0,84.0,396.0,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,345.0,345.0,22.0,https://pypi.org/project/django-address,25789.0,25789.0,25,True,1,,,,
53,django-rest-passwordreset,anexia-it/django-rest-passwordreset,django-rest-passwordreset,[],restful-api-drf,https://github.com/anexia-it/django-rest-passwordreset,https://github.com/anexia-it/django-rest-passwordreset,BSD-3-Clause,2017-03-13 19:06:30,2022-12-07 20:25:02,2022-11-02 17:21:20,153.0,,124.0,9.0,76.0,25.0,72.0,371.0,2022-09-15 12:29:55,1.3.0,18.0,"An extension of django rest framework, providing a configurable password reset strategy.",2252.0,2252.0,33.0,https://pypi.org/project/django-rest-passwordreset,224218.0,224218.0,25,True,3,-2.0,,,
54,django-seed,brobin/django-seed,django-seed,[],example-data,https://github.com/Brobin/django-seed,https://github.com/Brobin/django-seed,MIT,2015-04-20 23:46:29,2022-01-23 10:27:21,2021-10-08 16:42:39,189.0,,70.0,10.0,60.0,11.0,42.0,606.0,2021-10-08 16:29:50,0.3.1,13.0,Seed your Django database with fake data.,3363.0,3363.0,23.0,https://pypi.org/project/django-seed,21272.0,21272.0,24,True,1,,,,
55,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,MIT,2019-11-21 14:10:42,2023-02-20 03:06:35,2023-02-02 13:05:43,346.0,7.0,24.0,9.0,285.0,12.0,46.0,398.0,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",526.0,526.0,17.0,https://pypi.org/project/django-test-migrations,91459.0,91459.0,24,True,3,,,,
56,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,MIT,2014-05-23 22:52:34,2023-02-18 15:30:46,2023-02-18 15:30:45,638.0,2.0,157.0,18.0,180.0,2.0,147.0,352.0,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",403.0,403.0,83.0,https://pypi.org/project/django-cas-ng,17583.0,17587.0,24,True,3,,452.0,,
57,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,MIT,2011-05-11 08:26:59,2023-02-07 22:17:55,2023-02-07 07:38:40,959.0,2.0,353.0,40.0,462.0,161.0,377.0,3055.0,,,,A test fixtures replacement for Python.,,,126.0,https://pypi.org/project/factory_boy,2610945.0,2610945.0,23,True,3,,,,
58,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,AGPL-3.0,2013-09-10 10:16:35,2023-02-08 11:54:16,2023-02-08 11:54:11,86.0,24.0,366.0,105.0,90.0,27.0,258.0,2317.0,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,253.0,253.0,,https://pypi.org/project/viewflow,75.0,75.0,23,True,2,,,,
59,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,971.0,116.0,2190.0,143.0,291.0,1999.0,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,123.0,123.0,67.0,https://pypi.org/project/shuup,717.0,729.0,23,True,3,-2.0,521.0,,
60,django-tailwind,timonweb/django-tailwind,django-tailwind,[],mvt-css-framework-integration,https://github.com/timonweb/django-tailwind,https://github.com/timonweb/django-tailwind,MIT,2019-04-11 19:49:28,2023-02-16 23:16:27,2023-02-16 23:16:21,257.0,19.0,75.0,16.0,36.0,12.0,115.0,994.0,,,,Django + Tailwind CSS =.,1665.0,1665.0,15.0,https://pypi.org/project/django-tailwind,40915.0,40915.0,23,True,2,,,,
61,django-multitenant,citusdata/django-multitenant,django-multitenant,[],multiple-tenants,https://github.com/citusdata/django-multitenant,https://github.com/citusdata/django-multitenant,MIT,2017-05-19 05:23:40,2023-02-28 22:10:13,2023-02-28 06:33:22,264.0,24.0,81.0,47.0,86.0,18.0,54.0,555.0,2021-12-08 17:42:54,3.0.0,10.0,Python/Django support for distributed multi-tenant databases like Postgres+Citus.,36.0,36.0,19.0,https://pypi.org/project/django-multitenant,13295.0,13295.0,23,True,3,,,,
62,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,MIT,2013-10-30 03:15:55,2023-02-06 19:59:16,2022-12-20 07:18:40,298.0,6.0,67.0,8.0,108.0,10.0,31.0,206.0,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,119.0,119.0,26.0,https://pypi.org/project/django-fsm-log,32654.0,32654.0,23,True,2,,,,
63,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2023-02-27 16:20:04,2023-01-22 21:43:24,727.0,2.0,187.0,35.0,92.0,16.0,130.0,1077.0,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,47.0,https://pypi.org/project/django-organizations,23595.0,23595.0,22,True,3,,,,
64,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,GPL-3.0,2016-10-23 06:55:16,2023-01-26 21:58:57,2023-01-26 21:58:56,262.0,3.0,136.0,16.0,120.0,56.0,69.0,528.0,2022-06-30 20:42:07,1.3.3,47.0,"Yet another Django audit log app, hopefully the simplest one.",170.0,170.0,42.0,https://pypi.org/project/django-easy-audit,35488.0,35488.0,22,True,3,,,,
