,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,new_addition,gitlab_id,gitlab_url
18,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2022-12-26 06:02:07,2022-12-19 12:36:53,738.0,29.0,236,61.0,175.0,136.0,279.0,3785,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",921.0,921.0,70.0,https://pypi.org/project/django-ninja,59830,59830,31,True,3,MIT,-1.0,,,,
19,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,2015-06-14 12:37:08,2022-12-09 05:54:42,2021-06-26 12:04:16,1246.0,,216,55.0,307.0,259.0,145.0,1659,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1091.0,1091.0,62.0,https://pypi.org/project/django-q,67908,67908,30,True,3,MIT,,,,,
20,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,2010-09-20 12:42:29,2022-12-01 10:58:35,2022-10-13 17:16:31,623.0,3.0,278,33.0,247.0,30.0,229.0,1518,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1226.0,1226.0,137.0,https://pypi.org/project/django-constance,161199,161199,30,True,2,BSD-3-Clause,,,,,
21,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,2015-10-26 14:46:36,2022-12-24 15:06:11,2022-12-22 08:32:38,661.0,115.0,137,32.0,79.0,11.0,142.0,1282,2022-12-19 14:36:57,0.24.2,49.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",2291.0,2291.0,31.0,https://pypi.org/project/django-admin-interface,51903,51903,30,True,1,MIT,,,,,
22,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,2020-05-11 19:50:44,2022-12-14 19:06:24,2022-11-03 13:11:18,1029.0,20.0,184,33.0,245.0,76.0,137.0,1177,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,2670.0,2670.0,61.0,https://pypi.org/project/django-jazzmin,58738,58738,30,True,1,MIT,-1.0,,,,
23,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,2010-05-31 14:03:48,2022-10-21 04:39:31,2022-08-15 10:45:43,336.0,,254,43.0,140.0,18.0,135.0,2111,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1197.0,1197.0,64.0,https://pypi.org/project/django-fsm,200422,200422,29,True,1,MIT,,,,,
24,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,2014-12-29 02:39:34,2022-12-19 18:49:27,2022-12-12 10:26:16,471.0,7.0,177,21.0,213.0,55.0,205.0,683,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1166.0,1166.0,64.0,https://pypi.org/project/django-dbbackup,57982,57982,29,True,3,BSD-3-Clause,,,,,
25,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,2010-03-26 12:25:59,2022-11-22 14:09:40,2022-11-22 14:03:04,1875.0,5.0,634,95.0,317.0,5.0,685.0,3371,,,,A jazzy skin for the Django Admin-Interface (official repository).,5194.0,5194.0,82.0,https://pypi.org/project/django-grappelli,135019,135019,28,True,3,,,,,,
26,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062.0,,527,85.0,348.0,121.0,321.0,3306,,,,Per object permissions for Django.,5181.0,5181.0,159.0,https://pypi.org/project/django-guardian,346256,346256,28,True,1,,,,,,
27,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,2013-10-20 12:10:40,2022-12-25 07:56:14,2022-12-23 14:09:32,433.0,27.0,306,22.0,278.0,42.0,164.0,708,,,15.0,A Django app that keeps a log of changes made to an object.,556.0,556.0,61.0,https://pypi.org/project/django-auditlog,70308,70310,28,True,2,MIT,,282.0,True,,
