,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,gitlab_id,gitlab_url
22,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2024-06-01 00:09:08,2024-05-15 15:55:13,870.0,16.0,163.0,33.0,172.0,14.0,187.0,1706.0,2024-03-07 09:25:55,0.28.6,60.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",4018.0,4018.0,38.0,https://pypi.org/project/django-admin-interface,124652.0,124652.0,33,True,2.0,,,,,,
23,dj-stripe,dj-stripe/dj-stripe,dj-stripe,[],payment-subscriptions,https://github.com/dj-stripe/dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2024-05-30 20:06:27,2024-05-26 14:30:24,3270.0,117.0,459.0,33.0,1016.0,48.0,928.0,1560.0,2023-08-08 11:58:56,2.8.1,70.0,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,974.0,974.0,128.0,https://pypi.org/project/dj-stripe,104407.0,104407.0,33,True,1.0,,,,,,
24,django-bootstrap4,zostera/django-bootstrap4,django-bootstrap4,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2024-05-29 09:05:16,2024-04-25 09:31:25,1239.0,35.0,215.0,37.0,573.0,17.0,144.0,1031.0,2021-05-20 08:44:02,3.0.1,2.0,Bootstrap 4 integration with Django.,161935.0,161935.0,139.0,https://pypi.org/project/django-bootstrap4,178891.0,178891.0,33,True,1.0,,,,,,
25,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2024-05-31 13:34:12,2024-05-29 15:36:05,21238.0,147.0,5213.0,372.0,10425.0,568.0,3716.0,20233.0,2024-05-23 07:23:13,3.14.76,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,292.0,https://pypi.org/project/saleor,24.0,122.0,32,True,2.0,196.0,-1.0,,,,
26,netbox,netbox-community/netbox,,[],network-automation-system,https://github.com/netbox-community/netbox,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2024-05-31 17:16:44,2024-05-31 17:16:41,12704.0,509.0,2427.0,407.0,2886.0,274.0,9512.0,15152.0,2024-05-22 18:57:17,4.0.3,100.0,The premier source of truth powering network automation. Open source under Apache 2. Public demo:..,,,355.0,,,,32,True,1.0,,,,,,
27,django-bootstrap3,zostera/django-bootstrap3,django-bootstrap3,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2024-05-29 10:35:32,2024-04-25 10:22:24,1102.0,36.0,671.0,103.0,686.0,,297.0,2338.0,,,,Bootstrap 3 integration with Django.,18973.0,18973.0,99.0,https://pypi.org/project/django-bootstrap3,143376.0,143376.0,32,True,2.0,,,,,,
28,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2024-04-05 09:22:55,2024-04-05 09:22:50,589.0,2.0,297.0,24.0,382.0,7.0,215.0,1456.0,2023-12-29 14:31:51,7.3.0,11.0,A django model and form field for normalised phone numbers using python-phonenumbers.,26327.0,26327.0,115.0,https://pypi.org/project/django-phonenumber-field,1303553.0,1303553.0,32,True,1.0,19.0,-1.0,,,,
29,Paperless-ngx,paperless-ngx/paperless-ngx,,[],document-management-framework,https://github.com/paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2024-05-31 18:42:51,2024-05-31 18:41:52,9253.0,283.0,925.0,100.0,2154.0,,1450.0,17467.0,2024-05-15 21:11:00,2.8.6,82.0,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents.",,,353.0,,,2912.0,31,True,1.0,78635.0,,,,,
30,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2024-04-16 12:13:04,2024-04-16 12:13:00,353.0,7.0,281.0,46.0,146.0,1.0,156.0,2317.0,2024-04-09 07:55:47,3.0.0,5.0,Django friendly finite state machine support.,1618.0,1618.0,70.0,https://pypi.org/project/django-fsm,369954.0,369954.0,31,True,2.0,,,,,,
31,social-app-django,python-social-auth/social-app-django,social-app-django,[],authentication-authorization,https://github.com/python-social-auth/social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2024-05-29 15:36:25,2024-05-28 04:09:06,2359.0,18.0,357.0,33.0,261.0,131.0,162.0,1972.0,2024-04-24 17:22:14,5.4.1,6.0,Python Social Auth - Application - Django.,42436.0,42436.0,329.0,https://pypi.org/project/social-app-django,,,31,True,1.0,,,,,,
