,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
126,django-bootstrap-v5,zelenij/django-bootstrap-v5,django-bootstrap-v5,[],mvt-bootstrap-css-framework-integration,https://github.com/zelenij/django-bootstrap-v5,https://github.com/zelenij/django-bootstrap-v5,BSD-3-Clause,2020-12-10 11:47:38,2024-02-01 02:40:27,2024-01-07 14:31:05,937.0,,43.0,5.0,12.0,8.0,16.0,103,,,,Bootstrap 5 integration with Django.,9507.0,9507.0,138.0,https://pypi.org/project/django-bootstrap-v5,52426.0,52426.0,21,True,3.0,,,,,,
127,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2024-08-06 13:07:28,2022-06-17 09:46:13,276.0,,103.0,21.0,62.0,61.0,44.0,333,,,,Django registration and authentication with GraphQL.,735.0,735.0,16.0,https://pypi.org/project/django-graphql-auth,7686.0,7686.0,20,True,3.0,,,,,,
128,aiosmtpd,aio-libs/aiosmtpd,aiosmtpd,[],emails,https://github.com/aio-libs/aiosmtpd,https://github.com/aio-libs/aiosmtpd,Apache-2.0,2016-07-14 13:51:17,2024-12-31 16:42:38,2024-12-01 16:59:22,847.0,1.0,93.0,13.0,338.0,64.0,114.0,329,2024-05-18 11:37:43,1.4.6,16.0,A reimplementation of the Python stdlib smtpd.py based on asyncio.,,,43.0,https://pypi.org/project/aiosmtpd,377243.0,377250.0,20,True,3.0,,,553.0,,,
129,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2024-09-26 17:53:55,2024-09-26 17:53:55,140.0,,20.0,7.0,29.0,8.0,10.0,253,2024-08-01 13:51:13,0.1.0,10.0,Write Django management command using the click CLI library.,333.0,333.0,13.0,https://pypi.org/project/django-click,52313.0,52313.0,20,True,3.0,,,,,,
130,django-oscar-paypal,django-oscar/django-oscar-paypal,django-oscar-paypal,[],payment-subscriptions,https://github.com/django-oscar/django-oscar-paypal,https://github.com/django-oscar/django-oscar-paypal,BSD-3-Clause,2012-03-23 16:51:01,2023-11-01 11:25:26,2023-09-01 09:54:25,540.0,,196.0,34.0,203.0,23.0,69.0,165,,,,PayPal integration for django-oscar. Can be used without Oscar too.,161.0,161.0,51.0,https://pypi.org/project/django-oscar-paypal,796.0,796.0,20,True,2.0,,,,,,
131,django-typer,bckohan/django-typer,django-typer,[],management-commands,https://github.com/django-commons/django-typer,https://github.com/django-commons/django-typer,MIT,2023-10-23 22:31:55,2025-01-28 23:40:49,2025-01-07 05:59:02,626.0,14.0,2.0,2.0,54.0,30.0,75.0,113,2024-12-03 19:55:10,2.6.0,27.0,Use Typer (type hints) to define the interface for your Django management commands.,49.0,49.0,6.0,https://pypi.org/project/django-typer,9495.0,9495.0,20,True,3.0,,django-commons/django-typer,1.0,,,
132,wireup,maldoinc/wireup,wireup,[],dependency-injection,https://github.com/maldoinc/wireup,https://github.com/maldoinc/wireup,MIT,2023-08-19 22:09:32,2025-01-29 20:24:37,2025-01-29 20:20:06,497.0,33.0,8.0,4.0,12.0,18.0,25.0,113,2025-01-29 20:24:37,0.16.0,25.0,"Performant, concise, and easy-to-use dependency injection container for Python 3.8+.",10.0,10.0,4.0,https://pypi.org/project/wireup,2768.0,2768.0,20,True,3.0,,,,,,
133,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,MIT,2019-06-26 09:38:13,2024-06-20 12:43:20,2024-06-20 12:43:20,217.0,,22.0,4.0,12.0,5.0,23.0,67,2024-03-18 23:36:39,2.1.0,23.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",406.0,406.0,8.0,https://pypi.org/project/django-mapbox-location-field,1540.0,1540.0,20,True,3.0,,,,,,
134,saas-boilerplate,apptension/saas-boilerplate,,[],project-templates,https://github.com/apptension/saas-boilerplate,https://github.com/apptension/saas-boilerplate,MIT,2020-04-14 09:31:26,2025-01-30 10:13:48,2024-12-11 19:20:53,969.0,1.0,299.0,21.0,443.0,42.0,135.0,2375,2024-09-27 11:30:40,4.1.1,24.0,"SaaS Boilerplate - Open Source and free SaaS stack that lets you build SaaS products faster in React, Django and AWS...",,,40.0,,,,19,True,1.0,,,,,,
135,django-react-boilerplate,vintasoftware/django-react-boilerplate,,[],project-templates,https://github.com/vintasoftware/django-react-boilerplate,https://github.com/vintasoftware/django-react-boilerplate,MIT,2016-07-19 20:37:29,2025-01-20 13:58:45,2025-01-20 13:56:03,1175.0,3.0,491.0,61.0,379.0,26.0,270.0,2064,,,,"Django 5, React, Bootstrap 5 with Python 3 and Webpack project boilerplate.",,,51.0,,,,19,True,1.0,,,,,,
136,django-rules,dfunckt/django-rules,django-rules,[],authorization,https://github.com/dfunckt/django-rules,https://github.com/dfunckt/django-rules,MIT,2014-03-06 20:46:57,2024-09-02 16:01:04,2024-09-02 15:58:32,214.0,,146.0,38.0,82.0,27.0,86.0,1882,2024-09-02 16:01:04,3.5.0,22.0,"Awesome Django authorization, without the database.",,,32.0,https://pypi.org/project/django-rules,137.0,137.0,19,True,1.0,,,,,,
137,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,BSD-3-Clause,2016-03-01 15:35:59,2023-08-06 17:01:12,2023-08-06 17:00:07,200.0,,84.0,46.0,37.0,10.0,24.0,990,,,,Set of widgets to build dashboards for Django projects.,89.0,89.0,18.0,https://pypi.org/project/django-controlcenter,7857.0,7857.0,19,True,3.0,,,,,,
138,djaodjin-saas,djaodjin/djaodjin-saas,djaodjin-saas,[],value-as-a-service-framework,https://github.com/djaodjin/djaodjin-saas,https://github.com/djaodjin/djaodjin-saas,,2013-05-06 22:43:32,2025-01-15 00:01:50,2025-01-14 23:59:38,1929.0,11.0,127.0,24.0,194.0,17.0,95.0,578,,,,Django application for software-as-service and subscription businesses.,12.0,12.0,12.0,https://pypi.org/project/djaodjin-saas,1683.0,1683.0,19,True,1.0,,,,,,
139,django-admin-sortable,jazzband/django-admin-sortable,django-admin-sortable,[],admin-interface-actions,https://github.com/jazzband/django-admin-sortable,https://github.com/jazzband/django-admin-sortable,,2011-08-31 19:31:13,2023-04-21 08:57:53,2022-03-13 00:03:22,621.0,,133.0,17.0,121.0,10.0,132.0,566,,,,Generic drag-and-drop ordering for objects and tabular inlines in Django Admin.,729.0,729.0,80.0,https://pypi.org/project/django-admin-sortable,30107.0,30107.0,19,True,3.0,,,,,,
140,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120.0,,33.0,7.0,38.0,13.0,28.0,460,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,78.0,78.0,4.0,https://pypi.org/project/djantic,7402.0,7402.0,19,True,2.0,,,,,,
141,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,BSD-3-Clause,2010-03-05 00:50:02,2023-10-26 14:29:00,2023-10-26 14:28:50,128.0,,88.0,8.0,57.0,12.0,23.0,388,,,,Utilities to extract and manipulate Django Fixtures.,170.0,170.0,36.0,https://pypi.org/project/django-fixture-magic,21289.0,21289.0,19,True,3.0,,,,,,
142,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2024-11-18 05:40:33,2024-02-16 03:05:10,153.0,,74.0,18.0,43.0,41.0,32.0,387,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,4.0,https://pypi.org/project/django-cryptography,151233.0,151233.0,19,True,1.0,,,,,,
143,inertia-django,inertiajs/inertia-django,inertia-django,[],templates,https://github.com/inertiajs/inertia-django,https://github.com/inertiajs/inertia-django,MIT,2022-08-11 14:47:08,2025-01-27 01:15:10,2025-01-14 18:35:14,56.0,18.0,36.0,9.0,30.0,9.0,27.0,377,,,,The Django adapter for Inertia.js.,126.0,126.0,12.0,https://pypi.org/project/inertia-django,4989.0,4989.0,19,True,3.0,,,,,,
144,django-custom-user,jcugat/django-custom-user,django-custom-user,[],custom-user,https://github.com/jcugat/django-custom-user,https://github.com/jcugat/django-custom-user,BSD-3-Clause,2013-04-09 11:08:02,2023-02-15 19:27:54,2022-12-09 23:59:04,116.0,,60.0,17.0,58.0,1.0,23.0,317,,,,Custom user model for Django with the same behaviour as the default User class but with email instead of username.,280.0,280.0,12.0,https://pypi.org/project/django-custom-user,8209.0,8209.0,19,True,2.0,,,,,,
145,silver,silverapp/silver,silver,[],payment-subscriptions,https://github.com/silverapp/silver,https://github.com/silverapp/silver,,2014-10-07 11:39:38,2025-01-21 10:45:12,2025-01-21 10:45:07,1863.0,4.0,77.0,22.0,310.0,51.0,337.0,303,,,,Automated billing and payments for Django with a REST API.,11.0,11.0,24.0,https://pypi.org/project/silver,206.0,206.0,19,True,2.0,,,,,,
146,django-improved-user,jambonsw/django-improved-user,django-improved-user,[],custom-user,https://github.com/jambonrose/django-improved-user,https://github.com/jambonrose/django-improved-user,BSD-2-Clause,2016-10-25 02:00:47,2024-12-23 20:03:18,2024-08-08 13:18:10,128.0,,14.0,3.0,311.0,,10.0,150,2024-08-06 20:41:37,2.1.0,8.0,A custom Django user that authenticates via email. Follows identity and authentication best practices.,44.0,44.0,8.0,https://pypi.org/project/django-improved-user,1119.0,1119.0,19,True,2.0,,jambonrose/django-improved-user,,,,
147,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2025-01-28 00:08:45,2025-01-20 20:09:55,233.0,13.0,7.0,3.0,201.0,,4.0,86,2024-12-01 13:33:32,2.3.0,14.0,Pydantic model support for Django & Django-Rest-Framework.,19.0,19.0,8.0,https://pypi.org/project/pyngo,5774.0,5774.0,19,True,2.0,,,,,,
