,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
136,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,MIT,2019-06-26 09:38:13,2024-06-20 12:43:20,2024-06-20 12:43:20,217.0,,22.0,4.0,12.0,5.0,23.0,67,2024-03-18 23:36:39,2.1.0,23.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",407.0,407.0,8.0,https://pypi.org/project/django-mapbox-location-field,1574.0,1574.0,20,True,3.0,,,,,,
137,django-react-boilerplate,vintasoftware/django-react-boilerplate,,[],project-templates,https://github.com/vintasoftware/django-react-boilerplate,https://github.com/vintasoftware/django-react-boilerplate,MIT,2016-07-19 20:37:29,2025-01-20 13:58:45,2025-01-20 13:56:03,1175.0,3.0,495.0,61.0,380.0,27.0,270.0,2069,,,,"Django 5, React, Bootstrap 5 with Python 3 and Webpack project boilerplate.",,,51.0,,,,19,True,1.0,,,,,,
138,django-rules,dfunckt/django-rules,django-rules,[],authorization,https://github.com/dfunckt/django-rules,https://github.com/dfunckt/django-rules,MIT,2014-03-06 20:46:57,2024-09-02 16:01:04,2024-09-02 15:58:32,214.0,,146.0,38.0,82.0,27.0,86.0,1883,2024-09-02 16:01:04,3.5.0,22.0,"Awesome Django authorization, without the database.",,,32.0,https://pypi.org/project/django-rules,141.0,141.0,19,True,1.0,,,,,,
139,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,BSD-3-Clause,2016-03-01 15:35:59,2023-08-06 17:01:12,2023-08-06 17:00:07,200.0,,83.0,46.0,37.0,10.0,24.0,990,,,,Set of widgets to build dashboards for Django projects.,89.0,89.0,18.0,https://pypi.org/project/django-controlcenter,7768.0,7768.0,19,True,3.0,,,,,,
140,djaodjin-saas,djaodjin/djaodjin-saas,djaodjin-saas,[],value-as-a-service-framework,https://github.com/djaodjin/djaodjin-saas,https://github.com/djaodjin/djaodjin-saas,,2013-05-06 22:43:32,2025-02-10 19:20:34,2025-02-10 19:19:17,1945.0,27.0,127.0,24.0,194.0,14.0,98.0,579,,,,Django application for software-as-service and subscription businesses.,12.0,12.0,12.0,https://pypi.org/project/djaodjin-saas,1189.0,1189.0,19,True,1.0,,,,,,
141,django-admin-sortable,jazzband/django-admin-sortable,django-admin-sortable,[],admin-interface-actions,https://github.com/jazzband/django-admin-sortable,https://github.com/jazzband/django-admin-sortable,,2011-08-31 19:31:13,2023-04-21 08:57:53,2022-03-13 00:03:22,621.0,,133.0,17.0,121.0,10.0,132.0,567,,,,Generic drag-and-drop ordering for objects and tabular inlines in Django Admin.,730.0,730.0,80.0,https://pypi.org/project/django-admin-sortable,33466.0,33466.0,19,True,3.0,,,,,,
142,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120.0,,33.0,7.0,38.0,13.0,28.0,460,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,79.0,79.0,4.0,https://pypi.org/project/djantic,7676.0,7676.0,19,True,2.0,,,,,,
143,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,BSD-3-Clause,2010-03-05 00:50:02,2023-10-26 14:29:00,2023-10-26 14:28:50,128.0,,88.0,8.0,57.0,12.0,23.0,388,,,,Utilities to extract and manipulate Django Fixtures.,171.0,171.0,36.0,https://pypi.org/project/django-fixture-magic,21285.0,21285.0,19,True,3.0,,,,,,
144,inertia-django,inertiajs/inertia-django,inertia-django,[],templates,https://github.com/inertiajs/inertia-django,https://github.com/inertiajs/inertia-django,MIT,2022-08-11 14:47:08,2025-01-27 01:15:10,2025-01-14 18:35:14,56.0,18.0,36.0,10.0,31.0,10.0,27.0,386,,,,The Django adapter for Inertia.js.,129.0,129.0,12.0,https://pypi.org/project/inertia-django,5169.0,5169.0,19,True,3.0,,,,,,
145,django-custom-user,jcugat/django-custom-user,django-custom-user,[],custom-user,https://github.com/jcugat/django-custom-user,https://github.com/jcugat/django-custom-user,BSD-3-Clause,2013-04-09 11:08:02,2023-02-15 19:27:54,2022-12-09 23:59:04,116.0,,60.0,17.0,58.0,1.0,23.0,317,,,,Custom user model for Django with the same behaviour as the default User class but with email instead of username.,280.0,280.0,12.0,https://pypi.org/project/django-custom-user,9442.0,9442.0,19,True,2.0,,,,,,
146,silver,silverapp/silver,silver,[],payment-subscriptions,https://github.com/silverapp/silver,https://github.com/silverapp/silver,,2014-10-07 11:39:38,2025-01-21 10:45:12,2025-01-21 10:45:07,1863.0,4.0,77.0,22.0,310.0,51.0,337.0,303,,,,Automated billing and payments for Django with a REST API.,11.0,11.0,24.0,https://pypi.org/project/silver,200.0,200.0,19,True,2.0,,,,,,
147,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2024-09-26 17:53:55,2024-09-26 17:53:55,140.0,,20.0,7.0,29.0,8.0,10.0,253,2024-08-01 13:51:13,0.1.0,10.0,Write Django management command using the click CLI library.,334.0,334.0,13.0,https://pypi.org/project/django-click,55976.0,55976.0,19,True,3.0,,,,,,
148,django-rich,adamchainz/django-rich,django-rich,[],management-commands,https://github.com/adamchainz/django-rich,https://github.com/adamchainz/django-rich,MIT,2021-11-25 12:48:29,2025-02-07 23:14:32,2025-02-07 23:14:30,298.0,13.0,10.0,5.0,233.0,4.0,9.0,125,,,,Extensions for using Rich with Django.,174.0,174.0,6.0,https://pypi.org/project/django-rich,81733.0,81733.0,19,True,3.0,,,,,,
149,django-typer,bckohan/django-typer,django-typer,[],management-commands,https://github.com/django-commons/django-typer,https://github.com/django-commons/django-typer,MIT,2023-10-23 22:31:55,2025-02-08 09:21:45,2025-01-07 05:59:02,626.0,9.0,2.0,2.0,54.0,44.0,75.0,122,2024-12-03 19:55:10,2.6.0,27.0,Use Typer (type hints) to define the interface for your Django management commands.,49.0,49.0,6.0,https://pypi.org/project/django-typer,11376.0,11376.0,19,True,3.0,django-commons/django-typer,1.0,,,,
150,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2025-02-11 00:13:02,2025-02-10 13:47:20,236.0,16.0,7.0,3.0,202.0,,4.0,86,2024-12-01 13:33:32,2.3.0,14.0,Pydantic model support for Django & Django-Rest-Framework.,20.0,20.0,8.0,https://pypi.org/project/pyngo,5807.0,5807.0,19,True,2.0,,,,,,
