,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
78,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,2019-06-26 09:38:13,2022-08-26 07:34:52,2022-04-07 16:47:43,200.0,,21.0,5.0,12.0,2.0,22.0,63,2022-03-01 22:09:58,2.0.0,22.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",283.0,283.0,8.0,https://pypi.org/project/django-mapbox-location-field,1129.0,1129.0,20,True,3,MIT,,,,,
79,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,2016-03-01 15:35:59,2022-01-22 03:55:31,2022-01-22 03:47:01,188.0,,85.0,48.0,34.0,10.0,21.0,946,,,,Set of widgets to build dashboards for Django projects.,80.0,80.0,17.0,https://pypi.org/project/django-controlcenter,3590.0,3590.0,19,True,3,BSD-3-Clause,,,,,
80,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,2010-09-09 06:54:09,2023-06-04 03:51:51,2023-06-04 03:32:01,605.0,8.0,97.0,13.0,143.0,11.0,58.0,583,,,,Tracking dirty fields on a Django model.,,,41.0,https://pypi.org/project/django-dirtyfields,165139.0,165139.0,19,True,3,BSD-3-Clause,,,,,
81,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,2015-05-23 16:08:52,2023-06-27 19:00:05,2023-06-27 19:00:03,483.0,18.0,58.0,11.0,150.0,9.0,46.0,577,,,,Useful additions to Djangos default TestCase.,,,33.0,https://pypi.org/project/django-test-plus,58354.0,58354.0,19,True,3,BSD-3-Clause,,,,,
82,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,2010-03-05 00:50:02,2022-12-28 20:58:48,2021-03-12 05:02:13,120.0,,89.0,8.0,51.0,12.0,23.0,376,,,,Utilities to extract and manipulate Django Fixtures.,138.0,138.0,35.0,https://pypi.org/project/django-fixture-magic,31028.0,31028.0,19,True,3,BSD-3-Clause,,,,,
83,django-data-browser,tolomea/django-data-browser,django-data-browser,[],data-exploration,https://github.com/tolomea/django-data-browser,https://github.com/tolomea/django-data-browser,2020-03-29 21:02:52,2023-06-15 07:11:29,2023-06-15 07:11:24,1068.0,136.0,18.0,10.0,31.0,4.0,29.0,225,,,,Django app for user friendly querying of Django models.,10.0,10.0,9.0,https://pypi.org/project/django-data-browser,2115.0,2115.0,19,True,1,BSD-3-Clause,,,,,
84,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,16.0,7.0,22.0,9.0,8.0,221,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,243.0,243.0,11.0,https://pypi.org/project/django-click,37472.0,37472.0,19,True,3,MIT,,,,,
85,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,,81.0,30.0,66.0,18.0,20.0,197,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,318.0,318.0,32.0,https://pypi.org/project/django-fsm-admin,94139.0,94139.0,19,True,3,,,,,,
86,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,2017-11-12 15:46:45,2023-06-14 14:58:33,2023-06-14 14:58:28,253.0,4.0,35.0,12.0,75.0,2.0,38.0,173,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,9.0,9.0,28.0,https://pypi.org/project/django-loci,605.0,605.0,19,True,3,BSD-3-Clause,,,,,
87,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,2021-06-17 09:58:17,2023-06-14 13:33:15,2023-06-14 13:29:18,432.0,32.0,15.0,9.0,44.0,4.0,18.0,157,2023-06-14 13:32:03,0.19.1,24.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,9.0,https://pypi.org/project/django-ninja-extra,18476.0,18476.0,19,True,2,MIT,,,,,
88,django-admin-numeric-filter,lukasvinclav/django-admin-numeric-filter,django-admin-numeric-filter,[],admin-interface-filters,https://github.com/lukasvinclav/django-admin-numeric-filter,https://github.com/lukasvinclav/django-admin-numeric-filter,2018-08-10 10:21:18,2023-02-16 07:53:41,2023-02-16 07:53:37,60.0,,31.0,4.0,16.0,3.0,13.0,69,2023-02-16 07:52:21,0.1.9,3.0,Numeric filters for Django admin.,154.0,154.0,14.0,https://pypi.org/project/django-admin-numeric-filter,15342.0,15342.0,19,True,1,MIT,,,,,
89,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,47.0,9.0,176.0,7.0,61.0,412,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,39060.0,39060.0,18,True,1,MIT,,,,,
90,django-bulma,timonweb/django-bulma,django-bulma,[],mvt-css-framework-integration,https://github.com/timonweb/django-bulma,https://github.com/timonweb/django-bulma,2017-08-16 16:10:14,2023-03-04 04:33:09,2021-10-21 13:54:53,128.0,,52.0,15.0,38.0,4.0,37.0,330,,,,Bulma theme for Django.,445.0,445.0,14.0,https://pypi.org/project/django-bulma,2172.0,2172.0,18,True,3,MIT,,,,,
