,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
61,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-01-07 13:45:57,2023-01-07 13:44:35,118.0,5.0,25.0,6.0,33.0,8.0,27.0,321.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,40.0,40.0,4.0,https://pypi.org/project/djantic,3170.0,3170.0,19,True,3,,,,,
62,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2023-01-09 17:16:15,2023-01-09 17:16:12,166.0,45.0,17.0,4.0,33.0,2.0,19.0,287.0,2022-12-13 22:59:21,0.7.0,15.0,config and manage typed extra settings using just the django admin.,,,9.0,https://pypi.org/project/django-extra-settings,4511.0,4511.0,19,True,3,,,,,
63,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,17.0,7.0,22.0,9.0,8.0,215.0,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,206.0,206.0,11.0,https://pypi.org/project/django-click,21635.0,21635.0,19,True,3,,,,,
64,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2022-12-26 07:25:25,2019-05-10 16:41:45,129.0,,48.0,6.0,17.0,9.0,6.0,179.0,,,,Fernet symmetric encryption for Django model fields.,513.0,513.0,9.0,https://pypi.org/project/django-fernet-fields,55116.0,55116.0,19,True,1,,,,,
65,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,MIT,2019-06-26 09:38:13,2022-08-26 07:34:52,2022-04-07 16:47:43,200.0,,21.0,5.0,12.0,2.0,22.0,60.0,2022-03-01 22:09:58,2.0.0,22.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",224.0,224.0,8.0,https://pypi.org/project/django-mapbox-location-field,1039.0,1039.0,19,True,3,,,True,,
66,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2022-12-07 02:01:00,2022-10-08 04:18:12,456.0,,55.0,11.0,140.0,5.0,44.0,547.0,,,,Useful additions to Djangos default TestCase.,,,30.0,https://pypi.org/project/django-test-plus,28399.0,28399.0,18,True,3,,,,,
67,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,46.0,9.0,176.0,6.0,60.0,396.0,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,17978.0,17978.0,18,True,1,,,,,
68,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2022-12-26 07:34:28,2018-03-12 09:11:28,102.0,,81.0,8.0,30.0,27.0,16.0,228.0,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,226.0,226.0,10.0,https://pypi.org/project/django-audit-log,1297.0,1297.0,18,True,3,,,,,
69,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2022-09-15 08:54:01,2022-09-15 08:54:00,247.0,,33.0,11.0,69.0,3.0,37.0,172.0,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,9.0,9.0,26.0,https://pypi.org/project/django-loci,561.0,561.0,18,True,3,,,True,,
70,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14.0,4.0,4.0,3.0,11.0,48.0,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2416.0,2416.0,4.0,https://pypi.org/project/django-phone-field,11554.0,11554.0,18,True,3,,,,,
