,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
97,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14.0,4.0,4.0,3.0,11.0,49,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2763.0,2763.0,4.0,https://pypi.org/project/django-phone-field,13975.0,13975.0,18,True,3,,,,,,
98,mixer,klen/mixer,mixer,[],example-data,https://github.com/klen/mixer,https://github.com/klen/mixer,,2013-05-19 13:49:50,2023-07-24 14:39:54,2022-03-23 14:37:36,860.0,,90.0,12.0,107.0,36.0,49.0,912,,,,"Mixer -- Is a fixtures replacement. Supported Django, Flask, SqlAlchemy and custom python objects.",,,43.0,https://pypi.org/project/mixer,91603.0,91603.0,17,True,3,,,,,,
99,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2023-04-19 03:52:53,2023-04-19 03:52:52,147.0,,54.0,15.0,31.0,36.0,32.0,330,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,4.0,https://pypi.org/project/django-cryptography,82823.0,82823.0,17,True,2,,,,,,
100,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2022-01-25 15:52:14,2021-12-27 22:42:18,132.0,,94.0,14.0,37.0,5.0,19.0,248,,,,A simple API to send SMS messages. It is modeled after the django email api.,338.0,338.0,19.0,https://pypi.org/project/django-sendsms,4012.0,4012.0,17,True,2,,,,,,
101,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2022-12-26 07:34:28,2018-03-12 09:11:28,102.0,,81.0,8.0,30.0,27.0,16.0,230,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,234.0,234.0,10.0,https://pypi.org/project/django-audit-log,2043.0,2043.0,17,False,3,,,,,,
102,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,1.0,12.0,87,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",65.0,65.0,9.0,https://pypi.org/project/django-mirage-field,11506.0,11506.0,17,True,2,,,,,,
103,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2023-07-25 15:32:27,2023-07-24 13:26:14,60.0,1.0,36.0,14.0,13.0,3.0,8.0,412,,,,Keep track of your statistics.,22.0,22.0,9.0,https://pypi.org/project/django-trackstats,1199.0,1199.0,15,True,1,,,,,,
104,django-scopes,raphaelm/django-scopes,django-scopes,[],multiple-tenants,https://github.com/raphaelm/django-scopes,https://github.com/raphaelm/django-scopes,Apache-2.0,2019-05-10 11:27:07,2023-07-17 06:51:20,2023-06-12 08:26:02,42.0,1.0,15.0,11.0,16.0,10.0,6.0,196,,,,Safely separate multiple tenants in a Django database.,53.0,53.0,6.0,https://pypi.org/project/django-scopes,2862.0,2862.0,15,True,3,,,,,,
105,django-prbac,dimagi/django-prbac,django-prbac,[],authentication-authorization,https://github.com/dimagi/django-prbac,https://github.com/dimagi/django-prbac,,2013-10-17 18:31:58,2022-12-02 12:13:02,2022-12-02 12:12:59,173.0,,36.0,44.0,50.0,3.0,16.0,124,2020-03-06 22:55:21,0.0.8,1.0,,9.0,9.0,22.0,https://pypi.org/project/django-prbac,10094.0,10094.0,15,False,3,,,True,,,
106,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,11.0,8.0,8.0,3.0,14.0,109,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,189.0,189.0,5.0,https://pypi.org/project/django-fieldsignals,10815.0,10815.0,15,True,3,,,,,,
107,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-07-17 11:19:58,2023-07-03 12:28:04,94.0,12.0,5.0,2.0,68.0,1.0,1.0,57,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,4.0,4.0,5.0,https://pypi.org/project/pyngo,7495.0,7495.0,15,True,3,,,,,,
108,django-sms,roaldnefs/django-sms,django-sms,[],messaging,https://github.com/roaldnefs/django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2023-05-26 20:39:13,2022-12-25 14:29:04,30.0,,12.0,2.0,22.0,5.0,8.0,43,2022-12-15 08:18:36,0.6.0,6.0,A Django app for sending SMS with interchangeable backends.,161.0,161.0,3.0,https://pypi.org/project/django-sms,5264.0,5264.0,15,True,3,,,,,,
109,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],locking,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,21.0,3.0,8.0,1.0,4.0,114,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,4346.0,4346.0,14,True,3,,,,,,
110,django-admin-confirm,trangpham/django-admin-confirm,django-admin-confirm,[],admin-interface-actions,https://github.com/TrangPham/django-admin-confirm,https://github.com/TrangPham/django-admin-confirm,,2020-11-08 18:56:53,2023-05-20 17:48:03,2023-03-29 17:08:35,69.0,,11.0,4.0,25.0,8.0,17.0,104,2022-07-08 03:39:24,1.0.0,8.0,"AdminConfirmMixin is a mixin for ModelAdmin that adds confirmations to changes, additions and actions.",25.0,25.0,6.0,https://pypi.org/project/django-admin-confirm,21708.0,21708.0,14,True,3,,,,,,
