,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,new_addition,gitlab_id,gitlab_url
161,django-oauthost,idlesign/django-oauthost,django-oauthost,[],authentication-authorization,https://github.com/idlesign/django-oauthost,https://github.com/idlesign/django-oauthost,BSD-3-Clause,2011-11-06 14:47:51,2022-02-04 12:50:22,2022-02-04 12:50:18,144.0,,,4.0,1.0,1.0,2.0,25,,,,"Reusable application for Django, introducing OAuth2 server functionality.",2.0,2.0,2.0,https://pypi.org/project/django-oauthost,59.0,59.0,6,True,3,,,,,,
162,django-ninja-auth,mugartec/django-ninja-auth,django-ninja-auth,[],restful-api-ninja,https://github.com/mugartec/django-ninja-auth,https://github.com/mugartec/django-ninja-auth,WTFPL,2021-07-21 19:04:17,2023-09-27 22:24:48,2023-08-17 16:58:21,24.0,3.0,4.0,2.0,5.0,,3.0,19,,,,,,,6.0,https://pypi.org/project/django-ninja-auth,119.0,119.0,6,False,3,,,,,,
163,django-searchable-encrypted-fields,,django-searchable-encrypted-fields,[],encrpyted-fields,,https://gitlab.com/guywillett/django-searchable-encrypted-fields,,2019-04-09 15:14:16,2019-04-09 15:14:16,,,,2.0,,,3.0,15.0,9,,,4.0,,,,,https://pypi.org/project/django-searchable-encrypted-fields,34554.0,34554.0,6,False,3,,,,,guywillett/django-searchable-encrypted-fields,https://gitlab.com/guywillett/django-searchable-encrypted-fields
164,django-channels-discord,AdvocatesInc/django-channels-discord,django-channels-discord,[],messaging,https://github.com/AdvocatesInc/django-channels-discord,https://github.com/AdvocatesInc/django-channels-discord,MIT,2019-06-12 18:59:13,2022-02-14 14:17:21,2022-02-08 05:58:49,9.0,,1.0,2.0,,1.0,2.0,13,2022-01-12 02:01:46,0.2.0,4.0,An interface server connecting Djangos Channels and Discord.,,,,https://pypi.org/project/django-channels-discord,,,5,False,3,,,,,,
165,cookiecutter-sveetch-djangoapp,sveetch/cookiecutter-sveetch-djangoapp,cookiecutter-sveetch-djangoapp,[],reusable-app-templates,https://github.com/sveetch/cookiecutter-sveetch-djangoapp,https://github.com/sveetch/cookiecutter-sveetch-djangoapp,,2020-09-21 00:04:59,2023-10-30 01:15:20,2023-10-30 01:14:28,46.0,22.0,2.0,2.0,1.0,1.0,11.0,3,,,,Yet another Cookiecutter template to produce a repository to start a Django application package with Python3.,,,,https://pypi.org/project/cookiecutter-sveetch-djangoapp,,,5,False,3,,,,True,,
166,eventsourcing-eventstoredb,pyeventsourcing/eventsourcing-eventstoredb,eventsourcing-eventstoredb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,BSD-3-Clause,2021-07-15 13:43:52,2023-08-11 13:12:00,2023-08-11 13:11:56,31.0,2.0,1.0,1.0,1.0,,,12,,,,Python package for eventsourcing with EventStoreDB.,,,2.0,https://pypi.org/project/eventsourcing-eventstoredb,28.0,28.0,4,False,3,,,,,,
167,eventsourcing-dynamodb,pyeventsourcing/eventsourcing-dynamodb,eventsourcing-dynamodb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-dynamodb,https://github.com/pyeventsourcing/eventsourcing-dynamodb,BSD-3-Clause,2021-07-15 13:42:53,2022-10-07 23:00:38,2022-10-07 23:00:38,5.0,,1.0,1.0,2.0,,,3,,,,Python package for eventsourcing with DynamoDB.,,,3.0,https://pypi.org/project/eventsourcing-dynamodb,,,4,False,3,,,,,,
168,django-reusable-app,AndreGuerra123/django-reusable-app,django-reusable-app,[],reusable-app-templates,https://github.com/AndreGuerra123/django-reusable-app,https://github.com/AndreGuerra123/django-reusable-app,MIT,2019-03-27 15:15:28,2019-04-06 22:34:40,2019-04-06 22:34:25,7.0,,1.0,2.0,,1.0,,3,,,,A cookiecutter template to package Django Reusable Apps.,,,,https://pypi.org/project/django-reusable-app,,,4,False,3,,,,True,,
169,django-payee,vporton/django-payee,django-payee,[],payment-subscriptions,https://github.com/vporton/django-payee,https://github.com/vporton/django-payee,,2017-04-28 17:56:19,2020-05-04 04:13:03,2020-05-04 04:12:57,646.0,,2.0,3.0,,11.0,4.0,1,,,,Accept (regular and subscription) payments in Internet (currently supports PayPal). Advanced support for subscription..,,,,https://pypi.org/project/django-payee,,,4,False,3,,,,,,
170,eventsourcing-axonserver,pyeventsourcing/eventsourcing-axonserver,eventsourcing-axonserver,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-axonserver,https://github.com/pyeventsourcing/eventsourcing-axonserver,BSD-3-Clause,2022-05-03 22:48:32,2023-02-14 14:23:39,2023-02-14 14:23:22,19.0,,,1.0,,,,1,,,,Python package for eventsourcing with Axon Server.,,,,https://pypi.org/project/eventsourcing-axonserver,20.0,20.0,3,False,3,,,,,,
171,django-package-template,KryptedGaming/django-package-template,django-package-template,[],reusable-app-templates,https://github.com/KryptedGaming/django-package-template,https://github.com/KryptedGaming/django-package-template,MIT,2019-11-04 18:28:55,2021-02-21 16:40:51,2021-02-21 16:40:46,13.0,,1.0,1.0,,,3.0,1,2020-10-27 15:29:35,1.0,1.0,Template for creating packages.,,,,https://pypi.org/project/django-package-template,9.0,9.0,3,False,3,,,,True,,
