,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
156,that-depends,https://github.com/modern-python/that-depends,,[],dependency-injection,Simple Dependency injection framework for Python.,22,True,modern-python/that-depends,that-depends,https://github.com/modern-python/that-depends,MIT,2024-03-17 17:25:28,2025-11-17 16:02:19,2025-11-17 16:02:13,254.0,11.0,14.0,5.0,116.0,4.0,71.0,233.0,2025-11-17 14:14:22,3.9.1,229.0,23852.0,85.0,16.0,16.0,15.0,https://pypi.org/project/that-depends,23842.0,3.0,,,,
157,django-allauth-2fa,https://github.com/valohai/django-allauth-2fa,,[],authentication-authorization,Two-factor authentication for Django Allauth.,22,True,valohai/django-allauth-2fa,django-allauth-2fa,https://github.com/valohai/django-allauth-2fa,,2015-04-04 12:31:29,2025-10-06 18:22:11,2025-08-11 11:39:52,398.0,,51.0,9.0,133.0,13.0,61.0,220.0,2025-01-16 06:52:15,0.12.0,30.0,42191.0,4.0,250.0,250.0,34.0,https://pypi.org/project/django-allauth-2fa,42191.0,3.0,,,,
158,librephotos,https://github.com/LibrePhotos/librephotos,,[],photo-management-framework,A self-hosted open source photo management service. This is the repository of the backend.,21,True,LibrePhotos/librephotos,,https://github.com/LibrePhotos/librephotos,MIT,2020-11-11 23:08:19,2025-11-28 21:11:57,2025-11-23 15:39:51,2523.0,83.0,367.0,58.0,826.0,255.0,644.0,7853.0,,,,,,,,79.0,,,1.0,,,,
159,Gerapy,https://github.com/Gerapy/Gerapy,,[],crawler-management-system,"Distributed Crawler Management Framework Based on Scrapy, Scrapyd, Django and Vue.js.",21,True,Gerapy/Gerapy,,https://github.com/Gerapy/Gerapy,MIT,2017-06-30 03:58:27,2024-10-29 22:08:29,2024-09-07 00:49:42,631.0,,646.0,125.0,100.0,66.0,150.0,3491.0,2023-07-19 18:55:56,0.9.13,,,16.0,149.0,149.0,17.0,,,1.0,,,,
160,model_bakery,https://github.com/model-bakers/model_bakery,,[],testing,Object factory for Django.,21,True,model-bakers/model_bakery,model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-11-24 20:01:32,2025-10-31 15:36:47,437.0,12.0,97.0,11.0,383.0,27.0,128.0,951.0,2025-06-07 10:21:21,1.20.5,,1335091.0,37.0,,,63.0,https://pypi.org/project/model_bakery,1335091.0,3.0,,,,
161,model-bakery,https://github.com/model-bakers/model_bakery,,[],fake-data,Object factory for Django.,21,True,model-bakers/model_bakery,model-bakery/,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-11-24 20:01:32,2025-10-31 15:36:47,437.0,12.0,97.0,11.0,383.0,27.0,128.0,951.0,2025-06-07 10:21:21,1.20.5,,1335091.0,37.0,,,63.0,https://pypi.org/project/model-bakery/,1335091.0,1.0,,,,
162,django-template-partials,https://github.com/carltongibson/django-template-partials,,[],templates,Reusable named inline partials for the Django Template Language.,21,True,carltongibson/django-template-partials,django-template-partials,https://github.com/carltongibson/django-template-partials,MIT,2023-05-17 18:22:35,2025-11-20 21:08:46,2025-11-14 08:25:09,69.0,7.0,33.0,14.0,52.0,,36.0,645.0,,,,106331.0,,368.0,368.0,19.0,https://pypi.org/project/django-template-partials,106331.0,3.0,,,,
163,django-autofixture,https://github.com/gregmuellegger/django-autofixture,,[],example-data,Can create auto-generated test data.,21,False,gregmuellegger/django-autofixture,django-autofixture,https://github.com/gregmuellegger/django-autofixture,BSD-3-Clause,2010-08-24 18:39:29,2024-06-22 18:12:25,2017-03-03 07:13:17,343.0,,90.0,14.0,64.0,19.0,37.0,462.0,,,,1940.0,,872.0,872.0,34.0,https://pypi.org/project/django-autofixture,1940.0,2.0,,,,
164,django-getpaid,https://github.com/django-getpaid/django-getpaid,,[],payment-subscriptions,Django payments processor.,21,True,django-getpaid/django-getpaid,django-getpaid,https://github.com/django-getpaid/django-getpaid,MIT,2012-07-15 15:11:34,2025-03-12 15:38:47,2025-03-12 15:38:47,406.0,,104.0,20.0,93.0,4.0,58.0,447.0,2020-04-19 09:05:46,2.0.0,,6775.0,6.0,49.0,49.0,31.0,https://pypi.org/project/django-getpaid,6775.0,2.0,,,,
165,punq,https://github.com/bobthemighty/punq,,[],dependency-injection,An IoC container for Python 3.8+.,21,True,bobthemighty/punq,punq,https://github.com/bobthemighty/punq,MIT,2017-09-07 08:38:38,2025-11-21 03:03:05,2025-08-06 14:07:18,94.0,,18.0,2.0,169.0,15.0,32.0,406.0,2023-11-06 10:45:23,0.7.0,,80448.0,12.0,391.0,391.0,12.0,https://pypi.org/project/punq,80448.0,3.0,,,,
166,django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,,[],fake-data,A complete library to create dynamic model instances for testing purposes.,21,True,paulocheque/django-dynamic-fixture,django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,,2012-04-04 22:54:41,2024-10-10 11:01:49,2024-10-10 11:01:49,437.0,,63.0,17.0,95.0,7.0,64.0,388.0,,,,96790.0,,1283.0,1283.0,37.0,https://pypi.org/project/django-dynamic-fixture,96790.0,1.0,,,,
167,aiosmtpd,https://github.com/aio-libs/aiosmtpd,,[],emails,A reimplementation of the Python stdlib smtpd.py based on asyncio.,21,True,aio-libs/aiosmtpd,aiosmtpd,https://github.com/aio-libs/aiosmtpd,Apache-2.0,2016-07-14 13:51:17,2025-06-18 19:32:04,2025-06-18 19:32:04,852.0,,97.0,8.0,358.0,71.0,114.0,363.0,2024-05-18 11:37:43,1.4.6,628.0,470740.0,16.0,,,45.0,https://pypi.org/project/aiosmtpd,470733.0,3.0,,,,
